Country,Code,Year,Deforestation
Algeria,DZA,2000,14500
Argentina,ARG,2000,327400
Aruba,ABW,2000,0
Australia,AUS,2000,632300
Austria,AUT,2000,7790
Bahrain,BHR,2000,10
Bangladesh,BGD,2000,3200
Belarus,BLR,2000,7200
Belize,BLZ,2000,6790
Bhutan,BTN,2000,190
Bolivia,BOL,2000,200050
Brazil,BRA,2000,5129300
Bulgaria,BGR,2000,0
Burundi,BDI,2000,0
Cameroon,CMR,2000,71700
Canada,CAN,2000,50450
Cape Verde,CPV,2000,2840
Cayman Islands,CYM,2000,20
Central African Republic,CAF,2000,30000
Chile,CHL,2000,14210
China,CHN,2000,312760
Colombia,COL,2000,214330
Congo,COG,2000,12000
Costa Rica,CRI,2000,2650
Croatia,HRV,2000,330
Cuba,CUB,2000,0
Denmark,DNK,2000,180
Djibouti,DJI,2000,0
Dominican Republic,DOM,2000,250
Ecuador,ECU,2000,105080
El Salvador,SLV,2000,4500
Equatorial Guinea,GNQ,2000,8360
Estonia,EST,2000,6340
Ethiopia,ETH,2000,92000
Falkland Islands,FLK,2000,0
Faroe Islands,FRO,2000,0
Finland,FIN,2000,2090
French Guyana,,2000,5540
Gabon,GAB,2000,14740
Georgia,GEO,2000,0
Germany,DEU,2000,5830
Gibraltar,GIB,2000,0
Greenland,GRL,2000,0
Guadeloupe,GLP,2000,180
Guatemala,GTM,2000,48660
Guyana,GUY,2000,4440
Honduras,HND,2000,22810
Hungary,HUN,2000,1430
Iceland,ISL,2000,0
India,IND,2000,629500
Indonesia,IDN,2000,969000
Iraq,IRQ,2000,0
Ireland,IRL,2000,620
Isle of Man,IMN,2000,0
Jamaica,JAM,2000,680
Kuwait,KWT,2000,0
Kyrgyzstan,KGZ,2000,0
Latvia,LVA,2000,400
Liberia,LBR,2000,30260
Liechtenstein,LIE,2000,210
Lithuania,LTU,2000,140
Malawi,MWI,2000,42000
Maldives,MDV,2000,0
Mali,MLI,2000,109000
Martinique,MTQ,2000,140
Mauritania,MRT,2000,40440
Mauritius,MUS,2000,360
Mayotte,MYT,2000,210
Mexico,MEX,2000,424850
Moldova,MDA,2000,1800
Monaco,MCO,2000,0
Mongolia,MNG,2000,8250
Morocco,MAR,2000,1080
Mozambique,MOZ,2000,267030
Myanmar,MMR,2000,370150
Nauru,NRU,2000,0
Nepal,NPL,2000,1870
Netherlands,NLD,2000,2600
New Zealand,NZL,2000,18030
Nicaragua,NIC,2000,122490
Niger,NER,2000,14920
Nigeria,NGA,2000,163310
North Korea,PRK,2000,23190
Norway,NOR,2000,6500
Panama,PAN,2000,13730
Papua New Guinea,PNG,2000,9910
Paraguay,PRY,2000,342140
Peru,PER,2000,150280
Poland,POL,2000,580
Qatar,QAT,2000,0
Romania,ROU,2000,180
Russia,RUS,2000,0
San Marino,SMR,2000,0
Sao Tome and Principe,STP,2000,30
Singapore,SGP,2000,140
Slovenia,SVN,2000,380
Somalia,SOM,2000,76750
South Africa,ZAF,2000,399000
South America,,2000,6667000
South Korea,KOR,2000,8900
Spain,ESP,2000,5700
Suriname,SUR,2000,4110
Sweden,SWE,2000,20820
Switzerland,CHE,2000,1050
Syria,SYR,2000,46180
Tanzania,TZA,2000,400000
Thailand,THA,2000,18000
Togo,TGO,2000,4460
Tokelau,TKL,2000,0
Tunisia,TUN,2000,4340
Turkey,TUR,2000,1380
Uganda,UGA,2000,51090
Ukraine,UKR,2000,1030
United Kingdom,GBR,2000,200
United States,USA,2000,0
Uruguay,URY,2000,660
Uzbekistan,UZB,2000,5000
Vatican,VAT,2000,0
Venezuela,VEN,2000,183990
Vietnam,VNM,2000,0
Zambia,ZMB,2000,36250
Zimbabwe,ZWE,2000,46070
